"Topt","sim","site"
23.41,696,"MI"
34.89,695,"TX"
33.54,695,"MO"
34.89,695,"MI"
34.89,694,"TX"
29.29,694,"MO"
24.42,694,"MI"
34.89,693,"TX"
30.07,693,"MO"
23.8,693,"MI"
23.58,692,"TX"
29.52,692,"MO"
23.69,692,"MI"
7.61,691,"TX"
26.33,691,"MO"
23.08,691,"MI"
34.89,690,"TX"
28.86,690,"MO"
25.48,690,"MI"
34.89,689,"TX"
29.28,689,"MO"
28.8,689,"MI"
34.89,688,"TX"
28.86,688,"MO"
24.01,688,"MI"
34.89,687,"TX"
31.4,687,"MO"
22.46,687,"MI"
25.16,686,"TX"
33.59,686,"MO"
22.46,686,"MI"
33.68,685,"TX"
28.43,685,"MO"
26.62,685,"MI"
34.89,684,"TX"
30.35,684,"MO"
27.29,684,"MI"
26.8,683,"TX"
29.26,683,"MO"
21.8,683,"MI"
10.76,682,"TX"
29.26,682,"MO"
34.89,682,"MI"
25.45,681,"TX"
34.89,681,"MO"
24.34,681,"MI"
34.89,680,"TX"
34.28,680,"MO"
23.84,680,"MI"
24.7,679,"TX"
26.51,679,"MO"
22.88,679,"MI"
26.4,678,"TX"
34.89,678,"MO"
26.36,678,"MI"
23.47,677,"TX"
30.72,677,"MO"
25.37,677,"MI"
34.89,676,"TX"
31.2,676,"MO"
23.37,676,"MI"
32.28,675,"TX"
28.74,675,"MO"
34.89,675,"MI"
28.64,674,"TX"
28.31,674,"MO"
22.62,674,"MI"
34.89,673,"TX"
30.79,673,"MO"
21.66,673,"MI"
23.24,672,"TX"
34.89,672,"MO"
22.19,672,"MI"
32.59,671,"TX"
34.89,671,"MO"
34.89,671,"MI"
34.89,670,"TX"
31.24,670,"MO"
24.85,670,"MI"
26.07,669,"TX"
28.81,669,"MO"
24.1,669,"MI"
34.89,668,"TX"
29.68,668,"MO"
22.98,668,"MI"
23.78,667,"TX"
29.5,667,"MO"
34.89,667,"MI"
34.89,666,"TX"
32.55,666,"MO"
26.01,666,"MI"
34.23,665,"TX"
28.53,665,"MO"
22,665,"MI"
24.79,664,"TX"
28.76,664,"MO"
27.72,664,"MI"
34.89,663,"TX"
30.35,663,"MO"
34.62,663,"MI"
32.13,662,"TX"
29.01,662,"MO"
34.89,662,"MI"
34.89,661,"TX"
29.31,661,"MO"
25.17,661,"MI"
34.89,660,"TX"
29.41,660,"MO"
21.82,660,"MI"
34.89,659,"TX"
29.89,659,"MO"
34.89,659,"MI"
23.14,658,"TX"
30.33,658,"MO"
21.43,658,"MI"
20.03,657,"TX"
34.89,657,"MO"
22.96,657,"MI"
34.89,656,"TX"
26.71,656,"MO"
24.42,656,"MI"
24.29,655,"TX"
34.89,655,"MO"
23.54,655,"MI"
34.89,654,"TX"
28.98,654,"MO"
27.37,654,"MI"
26.01,653,"TX"
28.7,653,"MO"
26.7,653,"MI"
34.89,652,"TX"
28.21,652,"MO"
23.72,652,"MI"
34.89,651,"TX"
34.89,651,"MO"
22.41,651,"MI"
23.29,650,"TX"
27.72,650,"MO"
24.11,650,"MI"
23.58,649,"TX"
34.89,649,"MO"
22.36,649,"MI"
34.89,648,"TX"
34.89,648,"MO"
34.89,648,"MI"
34.89,647,"TX"
33.08,647,"MO"
32.6,647,"MI"
34.89,646,"TX"
31.54,646,"MO"
27.7,646,"MI"
34.89,645,"TX"
34.67,645,"MO"
22.9,645,"MI"
34.89,644,"TX"
29.8,644,"MO"
34.89,644,"MI"
34.89,643,"TX"
27.13,643,"MO"
25.04,643,"MI"
28.08,642,"TX"
25.75,642,"MO"
25.91,642,"MI"
29.3,641,"TX"
26.96,641,"MO"
25.1,641,"MI"
24.45,640,"TX"
26.51,640,"MO"
22.46,640,"MI"
20.28,639,"TX"
34.89,639,"MO"
24.33,639,"MI"
34.89,638,"TX"
26.38,638,"MO"
25.55,638,"MI"
34.89,637,"TX"
29.38,637,"MO"
22.37,637,"MI"
34.89,636,"TX"
32.2,636,"MO"
22.92,636,"MI"
34.89,635,"TX"
26.65,635,"MO"
28.51,635,"MI"
29.81,634,"TX"
32.84,634,"MO"
23.61,634,"MI"
28.48,633,"TX"
33.55,633,"MO"
22.3,633,"MI"
27.59,632,"TX"
32.75,632,"MO"
21.67,632,"MI"
34.89,631,"TX"
29.29,631,"MO"
23.64,631,"MI"
26.86,630,"TX"
34.89,630,"MO"
23.88,630,"MI"
34.89,629,"TX"
27.52,629,"MO"
23.12,629,"MI"
34.89,628,"TX"
28.79,628,"MO"
21.86,628,"MI"
34.89,627,"TX"
27.34,627,"MO"
24.02,627,"MI"
34.89,626,"TX"
28.68,626,"MO"
24.78,626,"MI"
24.45,625,"TX"
27.61,625,"MO"
27.13,625,"MI"
26.08,624,"TX"
28.31,624,"MO"
23.21,624,"MI"
32.78,623,"TX"
31.25,623,"MO"
26,623,"MI"
33.32,622,"TX"
28.44,622,"MO"
22.62,622,"MI"
23.74,621,"TX"
32.32,621,"MO"
21.66,621,"MI"
34.89,620,"TX"
34.89,620,"MO"
24.11,620,"MI"
34.89,619,"TX"
29.41,619,"MO"
22.42,619,"MI"
28.96,618,"TX"
28.14,618,"MO"
22.44,618,"MI"
29.09,617,"TX"
32.63,617,"MO"
23.26,617,"MI"
34.89,616,"TX"
34.89,616,"MO"
22.77,616,"MI"
34.89,615,"TX"
31.88,615,"MO"
25.37,615,"MI"
34.89,614,"TX"
29.72,614,"MO"
23.74,614,"MI"
34.89,613,"TX"
27.4,613,"MO"
24.89,613,"MI"
24.32,612,"TX"
34.89,612,"MO"
22.04,612,"MI"
34.89,611,"TX"
26.26,611,"MO"
30.95,611,"MI"
29.86,610,"TX"
32.4,610,"MO"
22.03,610,"MI"
27.75,609,"TX"
30.65,609,"MO"
34.89,609,"MI"
26.85,608,"TX"
34.89,608,"MO"
22.23,608,"MI"
20.31,607,"TX"
30.81,607,"MO"
27.9,607,"MI"
34.89,606,"TX"
27.65,606,"MO"
24.04,606,"MI"
34.89,605,"TX"
34.89,605,"MO"
30.13,605,"MI"
34.89,604,"TX"
29.73,604,"MO"
34.89,604,"MI"
28.22,603,"TX"
31.6,603,"MO"
22.58,603,"MI"
24.7,602,"TX"
34.89,602,"MO"
31.23,602,"MI"
34.89,601,"TX"
32.72,601,"MO"
23.21,601,"MI"
23.72,600,"TX"
34.89,600,"MO"
24.32,600,"MI"
30.65,599,"TX"
31.09,599,"MO"
34.89,599,"MI"
34.89,598,"TX"
28.71,598,"MO"
23.18,598,"MI"
33.7,597,"TX"
29.71,597,"MO"
25.28,597,"MI"
34.89,596,"TX"
34.89,596,"MO"
22.79,596,"MI"
34.89,595,"TX"
27.31,595,"MO"
26.07,595,"MI"
26.84,594,"TX"
26.4,594,"MO"
22.67,594,"MI"
34.89,593,"TX"
28.03,593,"MO"
22.79,593,"MI"
34.89,592,"TX"
27.24,592,"MO"
24.14,592,"MI"
32.51,591,"TX"
28.51,591,"MO"
26.12,591,"MI"
21.99,590,"TX"
29.74,590,"MO"
24.46,590,"MI"
34.89,589,"TX"
29.97,589,"MO"
23.38,589,"MI"
30.51,588,"TX"
29.83,588,"MO"
23.23,588,"MI"
34.89,587,"TX"
29.45,587,"MO"
24.32,587,"MI"
34.89,586,"TX"
30.39,586,"MO"
34.35,586,"MI"
34.89,585,"TX"
27.17,585,"MO"
25.53,585,"MI"
24.34,584,"TX"
28.43,584,"MO"
26.9,584,"MI"
23.86,583,"TX"
33.03,583,"MO"
34.89,583,"MI"
34.89,582,"TX"
31.33,582,"MO"
27.97,582,"MI"
34.89,581,"TX"
29.5,581,"MO"
24.33,581,"MI"
21.04,580,"TX"
27.25,580,"MO"
24.21,580,"MI"
28.21,579,"TX"
32.96,579,"MO"
23.96,579,"MI"
34.89,578,"TX"
25.6,578,"MO"
28.87,578,"MI"
23.94,577,"TX"
29.92,577,"MO"
